Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch
Tuesday,10:00-11:00,C104,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Tutorial,DSAI
Tuesday,10:00-11:00,L107,EC205,Control Systems,Dr. Pankaj Kumar,Practical,ECE
Tuesday,11:00-12:00,C002,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE
Tuesday,11:00-12:00,C004,CS206,Theory of Computation,Dr. Pavan/ Dr. Sunil C K,Lecture,CSE
Tuesday,11:00-12:00,C305,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI
Tuesday,11:00-12:00,C206,CS471,Deep Computer Vision,Chinmayanand,Lecture,CSE
Tuesday,11:00-12:00,C102,EC310,Embedded Systems Design,Dr. Prakash Pawar,Lecture,ECE
Tuesday,11:00-12:00,C104,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Lecture,DSAI
Tuesday,11:00-12:00,L206,CS163,Data Structures & Algorithms,Dr. C. B. Akki/ Dr Suvadip Hazra,Practical,CSE
Tuesday,12:00-13:00,C003,CS165,Mathematical foundations of Computing,Dr. Animesh Roy,Lecture,CSE
Tuesday,12:00-13:00,C004,CS164,Computer Architecture,Dr.Jagadish D N,Lecture,ECE
Tuesday,12:00-13:00,C303,DS357,Large Languange Models,Dr. Sunil S,Lecture,DSAI
Tuesday,12:00-13:00,C104, HS161,English Language and Communication,Dr. Rajesh N S,Lecture,DSAI
Tuesday,13:00-14:00,,,Lunch Break,,Break,
Tuesday,14:00-15:00,C002,DS355,Data Analytics and Visualization,Dr. Sunil CK,Lecture,CSE
Tuesday,14:00-15:00,C203,EC204,Analog and Digital Communication,Dr. Somen Bhattacharjee / Dr. Jagadish D N (Lab),Tutorial,ECE
Tuesday,14:00-15:00,C206,CS471,Deep Computer Vision,Chinmayanand,Tutorial,CSE
Tuesday,14:00-15:00,C102,HS206,Industrial Social Psychology,Dr. Navyashree,Lecture,DSAI
Tuesday,14:00-15:00,L106, CS164,Computer Architecture,Dr. Manjunath,Practical,DSAI
Tuesday,15:00-16:00,C004,PH352,Quantum Communication,Dr. Aswath B,Lecture,DSAI
Tuesday,15:00-16:00,C303,HS204 / HS153,Economics/ Innovation and Entrepreneurship,Dr. Anushree Kini/ Dr.Deepak k T/,Lecture,CSE
Tuesday,15:00-16:00,C304,CS163,Data Structures & Algorithms,Dr. C. B. Akki/ Dr Suvadip Hazra,Lecture,CSE
