Day,Time,Room,Course Code,Course Title,Faculty,Session Type,Branch
Tuesday,11:00-12:00,C002,CS307,Machine Learning,Dr. Deepak K T,Tutorial,ECE
Tuesday,11:00-12:00,C004,DS164,Data Curation Techniques,Dr. Siddharth R.,Lecture,DSAI
Tuesday,11:00-12:00,C302, CS164,Computer Architecture,Dr. Manjunath,Lecture,DSAI
Tuesday,11:00-12:00,C304,DS355,Data Analytics and Visualization,Dr. Sunil CK,Tutorial,CSE
Tuesday,11:00-12:00,C305,DS205,Global Business Perspectives,Mr. Manmohan Singh ( Course Coordinator: Dr. Rajendra Hegadi),Lecture,DSAI
Tuesday,11:00-12:00,C203,DS308,Data Security and Privacy,Dr. Abdul Wahid & Dr. Rajendra Hegadi,Lecture,DSAI
Tuesday,12:00-13:00,C002,EC451,Microwave Engineering,Dr. Somen,Lecture,CSE
Tuesday,12:00-13:00,C304,DS358,Deep Speech Processing,Prof. SRM Prasanna,Lecture,DSAI
Tuesday,12:00-13:00,C305,HS204,Economics,Dr.Anushree K,Tutorial,ECE
Tuesday,12:00-13:00,L206,DS164,Data Curation Techniques,Dr. Siddharth R.,Practical,DSAI
Tuesday,12:00-13:00,L105, CS163,Data Structures and Algorithms,Dr. Sunil Saumya,Practical,DSAI
Tuesday,13:00-14:00,,,Lunch Break,,Break,
Tuesday,14:00-15:00,C002,DS204,Software Engineering and Services,Dr. Animesh Chaturvedi,Lecture,DSAI
Tuesday,14:00-15:00,C003,HS161,English Language and Communication,Dr. Rajesh N S,Lecture,ECE
Tuesday,14:00-15:00,C302,CS164,Computer Architecture,Dr.Jagadish D N,Lecture,ECE
Tuesday,14:00-15:00,C304,CS204,Operating Systems,Dr. Manjunath K V,Lecture,DSAI
Tuesday,14:00-15:00,C305,DS306,Financial Data Analytics,Dr.Utkarsh Khaire,Lecture,DSAI
Tuesday,14:00-15:00,L107,EC205,Control Systems,Dr. Pankaj Kumar,Practical,ECE
Tuesday,14:00-15:00,L206, CS164,Computer Architecture,Dr. Manjunath,Practical,DSAI
Tuesday,15:00-16:00,C002,CS455,Blockchain Technology,Dr. Rajendra H,Tutorial,CSE
Tuesday,15:00-16:00,C304,EC361,Introduction to 5G Network,Dr. Jagadeesha R Bhat,Lecture,DSAI
